School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,20,10,10,.500,-6.09,-1.59,2,5,8,1,2,6,1514,1374,72.1,104.9,.309,.353,.549,49.5,59.7,13.2,8.1,.523,16.6,29.4,.214
Air Force,21,12,9,.571,1.85,-1.01,3,5,9,5,3,4,1430,1370,63.6,105.8,.329,.456,.573,47.7,65.2,9.7,12.0,.544,16.3,22.8,.236
Akron,20,14,6,.700,3.47,-2.36,6,1,10,0,3,3,1424,1246,66.9,105.8,.338,.455,.533,52.5,53.4,9.6,7.0,.497,14.3,29.9,.244
Alabama,19,17,2,.895,23.53,8.48,7,0,9,0,6,0,1597,1311,74.2,110.4,.407,.472,.561,54.7,53.2,7.9,11.7,.523,16.6,34.4,.293
Alabama A&M,20,7,13,.350,-11.71,-4.00,3,4,7,6,0,6,1402,1484,71.6,97.3,.286,.320,.522,45.4,51.7,12.1,12.1,.498,18.6,28.9,.189
Alabama State,20,6,14,.300,-15.10,-3.05,4,3,4,1,1,13,1296,1513,70.3,91.7,.309,.319,.464,48.4,45.9,7.9,8.7,.417,16.0,31.6,.230
Albany (NY),21,6,15,.286,-13.26,-3.31,1,5,3,3,2,11,1411,1561,68.0,98.7,.319,.413,.511,50.0,51.3,9.0,4.9,.476,16.9,31.0,.224
Alcorn State,19,9,10,.474,-8.03,-1.82,6,1,4,1,4,8,1257,1375,68.0,94.7,.339,.286,.476,49.6,41.0,10.9,6.4,.430,16.0,34.9,.245
American,19,12,7,.632,-4.53,-6.96,4,4,5,2,7,5,1272,1226,63.3,105.1,.296,.392,.586,51.3,57.0,11.7,11.6,.561,19.8,27.3,.214
Appalachian State,21,11,10,.524,-1.38,-0.21,4,4,7,4,4,5,1542,1367,69.1,105.0,.292,.409,.543,50.3,50.9,10.3,12.3,.516,14.7,25.9,.204
Arizona,20,17,3,.850,18.91,7.56,6,3,11,1,2,2,1666,1439,74.1,112.3,.394,.382,.589,55.0,66.6,8.4,9.7,.555,16.9,33.0,.288
Arizona State,20,15,5,.750,11.74,5.79,6,3,8,3,4,2,1450,1331,69.2,104.1,.333,.392,.526,50.4,58.4,10.1,14.4,.495,15.0,31.5,.228
Arkansas,20,14,6,.700,16.51,6.46,3,5,11,1,0,4,1501,1300,70.9,105.3,.386,.281,.549,53.6,48.5,12.7,12.7,.514,16.2,31.1,.271
Arkansas State,21,9,12,.429,-9.31,-3.92,1,7,8,6,1,6,1391,1408,65.6,100.4,.313,.320,.518,51.7,57.8,11.1,9.8,.490,16.5,30.9,.209
Arkansas-Pine Bluff,21,9,12,.429,-11.38,-0.79,5,3,7,1,2,11,1367,1429,72.0,90.4,.296,.411,.486,49.2,57.9,11.2,8.2,.449,19.2,28.1,.212
Army,21,11,10,.524,-5.49,-6.70,5,3,6,4,5,3,1587,1488,68.5,109.7,.315,.397,.589,53.4,50.4,7.5,5.7,.568,17.0,27.3,.219
Auburn,19,16,3,.842,15.35,5.30,6,1,10,0,4,2,1380,1189,69.1,105.0,.362,.354,.528,52.7,55.7,12.3,15.4,.494,16.2,35.9,.249
Austin Peay,21,8,13,.381,-9.91,-1.49,2,6,6,5,1,7,1441,1493,67.3,101.4,.279,.374,.524,48.2,53.7,10.3,8.6,.486,15.8,29.4,.214
Ball State,20,13,7,.650,-0.69,-2.42,4,3,8,1,3,4,1501,1386,68.2,110.0,.454,.348,.565,51.6,49.1,9.1,11.2,.532,15.8,31.9,.309
Baylor,20,15,5,.750,17.88,7.78,5,3,9,2,3,2,1588,1386,68.9,114.4,.400,.451,.573,53.9,59.6,10.7,8.3,.533,15.6,37.4,.297


Bellarmine,21,9,12,.429,-6.72,-0.16,4,4,5,4,4,8,1372,1337,62.5,104.5,.239,.453,.560,48.6,61.5,10.1,6.2,.535,16.1,23.1,.177
