School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,Opp. ORtg,Opp. FTr,Opp. 3PAr,Opp. TS%,Opp. TRB%,Opp. AST%,Opp. STL%,Opp. BLK%,Opp. eFG%,Opp. TOV%,Opp. ORB%,Opp. FT/FGA
Abilene Christian,20,10,10,.500,-6.03,-1.53,2,5,8,1,2,6,1514,1374,72.1,95.2,.472,.324,.560,50.5,52.8,8.5,8.9,.514,23.4,26.6,.343
Air Force,21,12,9,.571,1.85,-1.01,3,5,9,5,3,4,1430,1370,63.6,101.3,.354,.317,.519,52.3,41.9,8.0,9.5,.473,15.3,29.7,.265
Akron,20,14,6,.700,3.51,-2.32,6,1,10,0,3,3,1424,1246,66.9,92.6,.252,.339,.499,47.5,49.0,8.5,10.5,.470,17.6,24.6,.177
Alabama,20,18,2,.900,23.03,8.58,8,0,10,0,6,0,1663,1374,73.9,90.8,.305,.307,.454,45.4,42.2,9.6,12.4,.413,13.9,27.6,.214
Alabama A&M,20,7,13,.350,-11.75,-4.04,3,4,7,6,0,6,1402,1484,71.6,103.0,.372,.419,.547,54.6,55.1,10.8,9.1,.515,19.8,37.9,.258
Alabama State,20,6,14,.300,-15.10,-3.05,4,3,4,1,1,13,1296,1513,70.3,107.0,.335,.351,.529,51.6,47.0,9.8,14.2,.500,14.3,33.7,.226
Albany (NY),22,6,16,.273,-13.93,-3.53,1,6,3,3,2,12,1476,1645,68.1,109.8,.393,.307,.577,50.1,53.2,9.3,10.9,.547,15.8,28.0,.274
Alcorn State,19,9,10,.474,-8.05,-1.84,6,1,4,1,4,8,1257,1375,68.0,103.6,.438,.383,.547,50.4,57.8,7.8,10.1,.512,18.2,33.4,.298
American,20,13,7,.650,-4.52,-6.92,5,4,6,2,7,5,1335,1287,63.3,101.1,.334,.343,.538,48.7,49.3,11.7,7.1,.504,17.0,27.2,.238
Appalachian State,21,11,10,.524,-1.38,-0.21,4,4,7,4,4,5,1542,1367,69.1,93.1,.247,.402,.493,49.7,51.7,8.8,5.7,.464,17.3,26.8,.174
Arizona,20,17,3,.850,18.96,7.61,6,3,11,1,2,2,1666,1439,74.1,97.0,.245,.387,.492,45.0,49.1,11.9,8.3,.466,14.5,27.0,.168
Arizona State,20,15,5,.750,11.78,5.83,6,3,8,3,4,2,1450,1331,69.2,95.5,.313,.385,.487,49.6,54.2,9.3,9.3,.449,16.9,31.7,.221
Arkansas,20,14,6,.700,16.47,6.42,3,5,11,1,0,4,1501,1300,70.9,91.2,.380,.325,.509,46.4,43.4,9.0,7.1,.468,20.0,24.7,.265
Arkansas State,21,9,12,.429,-9.31,-3.92,1,7,8,6,1,6,1391,1408,65.6,101.6,.345,.347,.540,48.3,50.8,9.5,9.3,.502,16.9,26.3,.254
Arkansas-Pine Bluff,21,9,12,.429,-11.36,-0.77,5,3,7,1,2,11,1367,1429,72.0,94.5,.381,.363,.526,50.8,62.7,12.2,10.3,.487,20.5,27.1,.268
Army,22,11,11,.500,-5.52,-6.57,5,4,6,4,5,4,1648,1551,68.3,102.7,.275,.389,.543,46.7,51.1,10.7,8.5,.516,14.8,23.3,.196
Auburn,20,16,4,.800,14.34,5.59,6,2,10,1,4,2,1443,1268,69.0,91.9,.368,.329,.475,47.6,44.1,10.7,9.0,.431,17.0,31.3,.253
Austin Peay,21,8,13,.381,-10.01,-1.59,2,6,6,5,1,7,1441,1493,67.3,105.1,.337,.345,.566,51.8,54.8,9.4,7.5,.533,18.7,30.4,.246
Ball State,20,13,7,.650,-0.57,-2.29,4,3,8,1,3,4,1501,1386,68.2,101.5,.290,.324,.524,48.4,37.6,8.7,8.0,.492,15.8,29.3,.207
Baylor,20,15,5,.750,17.87,7.77,5,3,9,2,3,2,1588,1386,68.9,99.9,.331,.386,.536,46.1,60.6,9.3,9.1,.502,18.4,29.6,.236


Bellarmine,21,9,12,.429,-6.74,-0.19,4,4,5,4,4,8,1372,1337,62.5,101.8,.285,.532,.553,51.4,62.5,8.5,7.8,.524,18.4,26.9,.208
Belmont,22,16,6,.727,2.10,-1.38,9,2,8,1,6,4,1643,1540,68.5,101.0,.298,.335,.527,53.1,47.6,8.7,11.3,.502,17.1,31.6,.199
Bethune-Cookman,20,6,14,.300,-18.52,-5.68,2,5,4,2,1,11,1357,1537,70.0,109.1,.329,.414,.567,53.2,56.6,10.6,8.8,.528,16.8,32.8,.254
Binghamton,20,8,12,.400,-12.77,-5.61,4,3,5,5,3,7,1364,1434,68.0,104.8,.341,.364,.539,49.2,44.3,11.4,8.4,.501,15.0,28.7,.250
Boise State,21,16,5,.762,14.87,4.57,6,2,9,1,3,3,1527,1285,67.9,89.5,.269,.345,.477,46.1,41.9,7.7,8.2,.447,16.1,21.9,.182
Boston College,21,10,11,.476,0.02,3.16,4,6,7,4,1,5,1393,1459,66.7,103.0,.266,.395,.546,50.8,49.2,10.0,7.3,.524,17.4,28.3,.182
Boston University,22,10,12,.455,-7.13,-4.75,3,6,6,3,4,7,1482,1487,66.9,99.9,.356,.392,.532,48.7,50.5,9.3,13.6,.498,16.5,24.6,.247
Bowling Green State,20,10,10,.500,-5.78,-4.72,4,3,6,4,4,6,1564,1527,71.4,106.9,.307,.379,.545,48.2,50.5,8.4,8.8,.512,14.0,27.2,.224
Bradley,22,14,8,.636,7.38,-0.72,7,4,11,1,3,5,1570,1366,67.0,92.2,.304,.377,.501,47.6,50.0,10.4,7.5,.458,18.5,24.9,.232
Brigham Young,23,14,9,.609,7.75,3.99,4,4,9,2,2,4,1731,1589,72.7,94.6,.366,.379,.521,45.4,50.7,11.2,7.5,.488,18.0,22.2,.249
Brown,19,10,9,.526,-2.88,-3.62,3,3,6,4,4,5,1289,1275,68.8,96.9,.252,.356,.534,48.7,49.4,10.2,9.7,.509,17.8,21.4,.176
Bryant,20,13,7,.650,-2.87,-3.15,4,3,7,2,5,4,1673,1506,74.8,100.1,.292,.401,.524,47.0,56.6,9.4,7.1,.495,15.8,25.6,.203
Bucknell,22,8,14,.364,-8.51,-6.42,1,8,4,6,2,8,1493,1492,66.9,100.2,.271,.397,.512,47.9,56.9,11.8,9.1,.492,14.0,25.3,.173
Buffalo,20,10,10,.500,-0.25,1.86,4,3,8,2,1,5,1606,1539,76.0,100.6,.381,.360,.531,48.2,52.5,9.1,7.5,.495,17.3,28.5,.266
Butler,22,11,11,.500,7.62,7.75,3,8,8,3,2,6,1494,1497,68.1,99.9,.213,.330,.520,54.1,52.2,10.1,9.3,.497,16.4,29.9,.152
Cal Poly,20,7,13,.350,-6.67,-0.61,1,7,6,4,1,9,1247,1308,65.4,99.5,.376,.369,.530,48.3,48.7,9.7,9.4,.493,16.8,24.9,.263
Cal State Bakersfield,19,6,13,.316,-9.41,-0.71,2,6,4,4,1,8,1108,1182,63.3,97.7,.367,.432,.520,49.3,53.5,9.4,6.8,.486,18.0,28.3,.251
Cal State Fullerton,21,10,11,.476,-0.01,0.47,4,5,8,1,2,8,1463,1399,66.6,96.6,.338,.389,.517,50.7,49.2,9.7,9.7,.479,19.0,30.4,.243
Cal State Northridge,20,4,16,.200,-8.96,-0.40,1,8,4,5,0,9,1280,1340,65.1,102.2,.396,.401,.530,51.3,53.7,7.9,6.9,.483,16.5,30.2,.294
California,20,3,17,.150,-0.65,6.80,2,7,3,10,0,5,1219,1368,63.8,106.5,.317,.380,.549,51.3,52.3,8.8,10.5,.518,14.7,29.2,.226


California Baptist,21,13,8,.619,2.88,-0.97,5,3,9,3,4,3,1438,1340,65.0,97.0,.281,.328,.503,47.2,43.6,8.5,8.4,.469,14.6,24.8,.202
Campbell,21,9,12,.429,-6.23,-4.02,4,5,4,5,4,6,1433,1419,65.0,102.7,.293,.418,.555,49.6,50.0,9.7,11.4,.531,17.1,25.0,.203
Canisius,19,5,14,.263,-8.00,-1.06,3,7,3,5,2,9,1321,1400,68.2,106.0,.291,.305,.554,51.3,51.3,9.8,11.3,.526,16.9,31.4,.207
Central Arkansas,21,6,15,.286,-13.98,-2.63,1,7,4,4,1,10,1529,1705,73.2,109.6,.313,.369,.564,51.2,48.8,10.8,8.4,.540,14.9,29.4,.215
Central Connecticut State,21,5,16,.238,-12.00,-6.62,3,4,3,5,2,10,1348,1461,66.4,104.8,.277,.384,.551,51.8,59.1,10.4,8.2,.518,15.9,27.8,.210
Central Florida,20,13,7,.650,11.89,5.24,4,4,9,3,2,3,1441,1308,65.1,96.9,.315,.401,.507,47.4,53.0,9.6,9.2,.468,17.8,31.4,.230
Central Michigan,20,7,13,.350,-9.28,-2.01,2,5,5,4,1,8,1342,1427,70.4,100.7,.379,.422,.523,50.1,50.3,11.8,8.2,.494,17.7,32.0,.247
Charleston Southern,20,7,13,.350,-7.76,-3.26,3,6,5,5,2,8,1510,1501,67.5,110.5,.344,.385,.563,48.1,50.6,8.0,7.4,.530,14.7,30.3,.250
Charlotte,20,13,7,.650,4.91,-1.94,4,5,8,1,3,5,1365,1228,62.5,97.0,.264,.395,.518,48.2,43.1,9.0,8.0,.488,16.3,23.2,.191
Chattanooga,22,11,11,.500,-1.18,-1.76,3,6,7,5,4,6,1720,1562,68.4,103.2,.234,.399,.527,46.3,46.5,9.4,8.9,.495,13.5,25.3,.181
Chicago State,22,5,17,.227,-9.19,-1.33,4,0,1,17,1475,1620,66.3,110.5,.381,.363,.546,50.5,53.9,9.9,11.4,.511,14.2,34.5,.268
Cincinnati,21,14,7,.667,10.65,3.25,5,3,10,3,3,2,1613,1422,70.4,96.1,.280,.317,.505,47.4,51.5,7.7,7.5,.467,15.8,26.2,.210
Clemson,21,17,4,.810,10.57,2.38,9,1,12,0,3,2,1561,1389,67.9,96.3,.309,.415,.498,49.1,48.2,7.8,7.9,.458,15.1,25.2,.226
Cleveland State,21,12,9,.571,-0.41,-3.89,7,3,6,3,6,6,1460,1368,65.1,98.9,.302,.404,.512,50.0,53.8,8.0,7.8,.478,18.3,34.2,.215
Coastal Carolina,20,10,10,.500,-7.69,-1.81,4,4,7,4,3,6,1515,1435,69.0,102.7,.223,.440,.520,47.7,54.2,9.9,8.5,.497,15.1,30.9,.155
Colgate,22,15,7,.682,1.18,-5.01,9,0,6,2,8,3,1722,1559,68.8,103.0,.223,.369,.551,48.6,51.4,9.2,8.7,.531,16.7,24.3,.157
College of Charleston,22,21,1,.955,8.05,-3.05,9,0,13,0,8,1,1761,1499,70.8,95.2,.231,.323,.511,45.9,47.2,8.3,11.2,.489,17.6,26.1,.154
Colorado,21,12,9,.571,12.27,6.60,4,6,9,2,1,5,1517,1398,71.3,93.4,.317,.338,.505,46.3,42.6,11.3,11.0,.471,18.1,25.1,.221
Colorado State,21,10,11,.476,5.97,4.27,2,6,7,4,2,5,1567,1490,67.6,103.1,.302,.430,.550,52.9,47.9,8.4,9.1,.519,17.1,26.5,.219
Columbia,21,6,15,.286,-14.27,-2.95,1,5,5,7,1,8,1412,1534,70.0,103.2,.240,.380,.532,51.8,58.1,9.7,11.7,.510,16.8,32.2,.166


Connecticut,22,16,6,.727,21.48,6.53,5,6,11,2,2,4,1745,1416,70.1,91.9,.410,.280,.500,44.4,39.9,9.0,8.6,.446,18.4,24.7,.304
